Title;ID;Description;Date;Hour;Class;Price;Categoria;Modelo;Marca;Ano;Quilometragem;Potência do motor;Combustível;Cor;CEP;City;Neighborhood;Link;Tipo de veículo;Câmbio;Direção;Portas;Final de placa;Vidro elétrico;Air bag;Trava elétrica;Ar condicionado;Direção hidráulica;Alarme;Som;Sensor de ré;Câmera de ré;Blindado
Fiat Mobi Evo Like 1.0 (Flex);925774992;Se você quer comprar um novo carro, precisa fazer isso com quem tem qualidade, procedência e entende do assunto. A Seminovos Movida conhece e cuida de seus veículos desde zero e é tanta confiança que damos 1 ano de garantia para todas as marcas e modelos. Aqui, você pode renovar a sua garagem com as melhores taxas e condições de pagamento e ainda avaliar o seu usado na troca. Isso sem contar as ofertas, que são as melhores do mercado. São mais de 70 lojas espalhadas por todo o Brasil. Acesse seminovosmovida.com.br, descubra qual a unidade mais próxima de você e venha nos visitar. IPVA pago,Licenciado Air bag motorista Air bag passageiro Ar condicionado Computador de bordo Direção hidráulica Distribuição eletrônica de frenagem Freio ABS Travas elétricas Vidros elétricos;16/09;20:04;professional;46450;Carros, vans e utilitários;FIAT MOBI LIKE 1.0 FIRE FLEX 5P.;FIAT;2020;37394;1.0;Flex;Branco;57052405;Maceió;Gruta de Lourdes;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/fiat-mobi-evo-like-1-0-flex-925774992;Passeio;Manual;Hidráulica;4 portas;5;yes;yes;yes;yes;;;;;;
Corolla 1.8 automático ;932398838;Carro em ótimo estado de conservação, jogo de roda original, pneus meia vida, central multimídia e CÂMERA de ré. O carro possui manual Para maiores informações Zap 9884... ver número  *Aceito carta de crédito. *Não aceito trocas.;16/09;20:01;amateur;46000;Carros, vans e utilitários;TOYOTA COROLLA GLI 1.8 FLEX 16V  AUT.;TOYOTA;2011;125000;1.8;Flex;Prata;57030638;Maceió;Ponta da Terra;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/corolla-1-8-automatico-932398838;Sedã;Automático;Hidráulica;4 portas;8;yes;yes;yes;yes;yes;yes;yes;yes;yes;
VENDO\TROCO;932391761;VENDO OU TROCO HILUX 4X4 TURBO 2006 AUTOMÁTICA A DIESEL ANO 2006 TROCO POR FIAT TORO/CRETA/HRV MAIS INFORMAÇÕES LIGAR/WHATSAPP (82)9886... ver número;16/09;19:55;amateur;87000;Carros, vans e utilitários;TOYOTA HILUX CD SRV 4X4 3.0 8V 116CV TB DIESEL;TOYOTA;2006;230000;3.0 - 3.9;Diesel;Preto;57014490;Maceió;Ponta Grossa;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/vendo-troco-932391761;Pick-up;Automático;Elétrica;4 portas;0;yes;yes;yes;yes;;yes;yes;yes;yes;
MB/MICRO-ÔNIBUS 1982 22 lugares;842053682;Excelente Micro-ônibus, capacidade 22 lugares, documentação Ok.  Placa Mercosul. Maçarico, Diesel. Motor , elétrica, em perfeito estado.  Ideal também para Food-Truck, ou Home-Bus.  ACEITO  Veículos de Maior ou Menor valor , bem como MOTOS !  Whatsapp (82) 9964... ver número Alan Veiga;16/09;19:53;professional;23900;Carros, vans e utilitários;MERCEDES-BENZ 220 S SEDAN 2.2 6V 4P GASOLINA.;MERCEDES-BENZ;1982;1;2.0 - 2.9;Diesel;Branco;57055790;Maceió;Pinheiro;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/mb-micro-onibus-1982-22-lugares-842053682;Van/Utilitário;Manual;Mecânica;2 portas;;;;;;;;;;;
Polo 1.0 200 TSI Comfortline Automático;931786533;** Volkswagen Polo 1.0 200 TSI COMFORTLINE AUTOMÁTICO **  Carro todo original Baixa KM Revisões feita na concessionária. (PRÓXIMA REVISÃO GRÁTIS!) Ainda na garantia IPVA pago  FAVOR ENTRAR EM CONTATO PELO WHATSAPP! (82) 9962... ver número ;16/09;19:49;amateur;81990;Carros, vans e utilitários;VW - VOLKSWAGEN POLO COMFORT. 200 TSI 1.0 FLEX 12V AUT.;VW - VOLKSWAGEN;2020;23673;1.0;Flex;Prata;57025020;Maceió;Poço;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/polo-1-0-200-tsi-comfortline-automatico-931786533;Hatch;Automático;Hidráulica;4 portas;;;;;;;;;;;
Novo Honda CR-V Touring 1.5 turbo AWD 0km - Serigy Veiculos;924224746;Novo Honda CR-V Touring 1.5 turbo AWD 0km  Cores Disponíveis: Branco Topaz Perolizado  > Serigy Veiculos (Coroa do Meio) Av. Luiz Lua Gonzaga, 303  > Serigy Veículos (Siqueira Campos) Rua São Cristóvão, 1960  (79) 9987... ver número;16/09;19:47;professional;264900;Carros, vans e utilitários;HONDA CR-V TOURING 1.5 16V 4WD 5P AUT.;HONDA;2021;0;1.5;Gasolina;Branco;57035000;Maceió;Ponta Verde;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/novo-honda-cr-v-touring-1-5-turbo-awd-0km-serigy-veiculos-924224746;SUV;Automático;Elétrica;4 portas;;yes;yes;yes;yes;yes;yes;yes;yes;yes;
Gol ano 2000 16 válvula;932388569;Gol bola básico 16valvula ano 2000carro muito bom  tá atrasado esse ano;16/09;19:42;amateur;5000;Carros, vans e utilitários;VW - VOLKSWAGEN GOL 1.0 PLUS 16V 4P;VW - VOLKSWAGEN;2000;26593;1.0;Gasolina;Branco;57018520;Maceió;Chã da Jaqueira;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/gol-ano-2000-16-valvula-932388569;Hatch;Manual;Mecânica;4 portas;;;;;;;;;;;
Fiat Strada Fire  2012 OPORTUNIDADE ;923609888;Carro De Trabalho   -IPVA 2021 pago  -Todo revisada -Ar condicionado -Direção hidráulica  -Vidro elétrico nas portas   -2 pneus novos e dois meia vida      -Carro em perfeito estado  -2012/2012 -Km original    Qualquer dúvida e para marcar visita  Entrar em contato com (82)9999... ver número;16/09;19:38;amateur;29900;Carros, vans e utilitários;FIAT STRADA 1.4 MPI FIRE FLEX 8V CS;FIAT;2012;232;1.4;Flex;Branco;57037540;Maceió;Mangabeiras;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/fiat-strada-fire-2012-oportunidade-923609888;Pick-up;Manual;Hidráulica;2 portas;4;yes;;;yes;yes;;;;;
VW Jetta Highline 2.0 TSI 211cv - Pacote premium ;930752664;Vendo Volkswagen Jetta TSI 2.0 211cv Pacote premium mais completo  Faróis em led traseiros e dianteiros  Start stop  Central multimídia CarPlay  Todo revisado na css  Impecável  Pneus zero  Emplacado 2021  Interior caramelo  Aceito trocas e propostas   Contato / WhatsApp (82)9915... ver número;16/09;19:38;professional;89900;Carros, vans e utilitários;VW - VOLKSWAGEN JETTA HIGHLINE 2.0 TSI 16V 4P TIPTRONIC;VW - VOLKSWAGEN;2016;78000;2.0 - 2.9;Flex;Branco;57036680;Maceió;Jatiúca;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/vw-jetta-highline-2-0-tsi-211cv-pacote-premium-930752664;Sedã;Automático;Hidráulica;4 portas;2;yes;yes;yes;yes;yes;yes;yes;yes;;
Honda HRV Exl AUT. (top de linha) - 2016/2016;930412766;Contato pelo numero: (82) 9888... ver número (ligação) Carro de particular, disponível no Farol.   Honda HR-V EXL 1.8 CVT 2016/2016  Modelo top de linha. Acompanha chave reserva e manual com todas as revisões feitas na Taiyo até os 70.000KM. 4 Pneus em excelente estado, estepe sem uso. Tudo funcionando!  Carro em ótimo estado de conservação. Parte interna igualmente em ótimas condições. 80.000KM, quilometragem de estrada! Portanto desgaste muito menor que um veiculo que só roda no transito da cidade. Suspensão perfeita, não faz um barulho. Motor e cambio em perfeito funcionamento, sem nenhum vazamento. Carro pronto para pegar e usar!  Carro equipado com: -6 Air bags -Multimídia com GPS e diversas configurações integradas (2016 só vem na EX-L) -Controle de estabilidade e tração -Retrovisores com rebatimento elétrico -Freio de mão eletrônico + opção de Brake Hold no botão (quando ativado, não é necessário manter o pé no freio com o carro parado) -Cambio CVT com opção de 7 marchas simuladas no volante (padle shift) -Bancos em couro originais de fabrica -Ar condicionado digital -Volante multifuncional em couro com comando de som e piloto automático Entre outros itens. Além de possuir um acabamento diferenciado.  Carro quitado em meu nome, Licenciamento e IPVA 2021 pagos, sem multas. Interesse apenas em venda!   Propostas sem noção serão ignoradas. Dispenso marreteiro e lojista, não percam tempo!   Entrar em contato somente interessados! Disponível no farol, não levo o carro em outros locais.;16/09;19:38;amateur;77000;Carros, vans e utilitários;HONDA HR-V EXL 1.8 FLEXONE 16V 5P AUT.;HONDA;2016;80000;1.8;Flex;Cinza;57052580;Maceió;Gruta de Lourdes;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/honda-hrv-exl-aut-top-de-linha-2016-2016-930412766;SUV;Automático;Elétrica;4 portas;3;yes;yes;yes;yes;;yes;yes;;yes;
Gol G7 1.6 MSI 2018;932387153;Gol G7 msi 2018 Trendline CARRO EXTRA! Carro sem nada para fazer, revisões em dia, é só pegar e andar!  - 4 Pneus bons - Chave canivete, reserva e manual - Central multimídia com câmera de ré integrada(adicional) - Engate (adicional) - Encosto de braço (adicional) - Alarme na chave canivete (adicional) - Vidros elétricos dianteiros - Alto-Falantes JBL SELENIUM (adicional) - Sistema de freio ABS - AirBag - Travas elétricas - Ar condicionado  INTERESSADOS FALEM NO CHAT OU WHATSAPP: (82) 9917... ver número. Felipe Beltrão. ;16/09;19:37;amateur;52000;Carros, vans e utilitários;VW - VOLKSWAGEN GOL TRENDLINE 1.6 T.FLEX 8V 5P;VW - VOLKSWAGEN;2018;58000;1.6;Flex;Cinza;57035220;Maceió;Ponta Verde;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/gol-g7-1-6-msi-2018-932387153;Hatch;Manual;Hidráulica;4 portas;1;yes;yes;yes;yes;yes;yes;yes;;yes;
HB 20s 1.6 2014 Manual ;926379817;Carro com pneus novos , bancos de Couro !!!;16/09;19:36;professional;39990;Carros, vans e utilitários;HYUNDAI HB20S C.PLUS/C.STYLE 1.6 FLEX 16V MEC.4P;HYUNDAI;2014;89344;1.6;Flex;Branco;57022063;Maceió;Jaraguá;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/hb-20s-1-6-2014-manual-926379817;Sedã;Manual;Hidráulica;4 portas;2;yes;yes;yes;yes;yes;yes;yes;yes;;
Ford Fiesta Sedan 1.6 8V Flex 2011;932386536;Ar condicionado Vidros elétricos Travas elétricas Mala elétrica Direção hidráulica Alarme Flex Pneus novos Revisado recentemente Bateria Nova Moura  Documentação toda em dia, em meu nome, todos opcionais funcionam, veículo pronto para transferência. Interessados entrar em contato via chat ou whatsapp 9934... ver número;16/09;19:35;amateur;23900;Carros, vans e utilitários;FORD FIESTA SED. 1.6 8V FLEX 4P;FORD;2011;225000;1.6;Flex;Prata;57020635;Maceió;Centro;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/ford-fiesta-sedan-1-6-8v-flex-2011-932386536;Sedã;Manual;Hidráulica;4 portas;3;yes;yes;yes;yes;yes;yes;;yes;;
HRV TOURING 1.8 AT 2018 ;911470731;Único dono Combustível Flex  Antigo dono não fumante   Direção elétrica, Combustível Flex, Câmbio automático, Freios ABS, Faróis de neblina, Airbags frontais, Controle de tração, Faróis com refletores duplos, Luzes de condução diurna, Ar-condicionado automático, Bancos revestidos em couro, Faróis com acendimento automático, Rodas de liga leve, Rádio, Conexão USB, Volante multifuncional, Computador de bordo, Navegador USB.    WhatsApp: 8298... ver número;16/09;19:24;professional;105990;Carros, vans e utilitários;HONDA HR-V TOURING 1.8 FLEXONE 16V 5P AUT.;HONDA;2018;50000;1.8;Flex;Vermelho;57037532;Maceió;Mangabeiras;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/hrv-touring-1-8-at-2018-911470731;SUV;Automático;Elétrica;4 portas;8;yes;yes;yes;yes;;yes;yes;yes;yes;
Onix Joy 2016/2017 ;923085967;Vendo Onix em excelente estado, sem nada pra fazer e com apenas 45.500km rodados. Único dono. Quitado. Sem pendências. 9889... ver número Carlos;16/09;19:22;amateur;44000;Carros, vans e utilitários;GM - CHEVROLET ONIX HATCH JOY 1.0 8V FLEX 5P MEC.;GM - CHEVROLET;2017;45500;;Flex;;57014510;Maceió;Ponta Grossa;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/onix-joy-2016-2017-923085967;;Manual;;;;;;;;;;;;;
NEW FIESTA 2016 com 38000km, EXTRA!!!!;932382357;9997... ver número Leandro   Ar condicionado  Direção elétrica  Vidro elétrico  Trava elétrica  Retrovisor elétrico  Airbag duplo  Freios abs  Som original  Sensor de estacionamento  Manual e chave reserva  Emplacado 2021  Carro extremamente novo, com apenas 38000km, Step ainda sem uso. Veículo diferenciado, pra quem procura um carro de qualidade!!  OBS: NÃO TROCO EM IMÓVEIS E NÃO TEM PREÇO PRA LOJISTA. GOLPISTAS NÃO PERCAM SEU TEMPO!;16/09;19:20;amateur;43000;Carros, vans e utilitários;FORD FIESTA 1.5 16V FLEX MEC. 5P;FORD;2016;38000;1.5;Flex;Branco;57035360;Maceió;Ponta Verde;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/new-fiesta-2016-com-38000km-extra-932382357;Hatch;Manual;Elétrica;4 portas;3;yes;yes;yes;yes;yes;yes;yes;yes;;
CHEVROLET JOY 2019/2020 1.0 SPE4 FLEX MANUAL;882360282;Veículo: CHEVROLET JOY 1.0 SPE4 FLEX MANUAL Ano: 2019... ver número Cor: Prata  Informações complementares: Único Dono, IPVA PAGO, Licenciado  Outros opcionais: Freio ABS, Desembaçador traseiro, Rádio, Sensor de estacionamento  Observação:Se você está sonhando em trocar de carro, agora você está na direção certa! O seminovo mais novo do Brasil está na Localiza Seminovos, onde você encontra a maior variedade de modelos do mercado e muitas vantagens, como condições únicas de financiamento, entrada facilitada em até 10 vezes sem juros, carros revisados e com garantia de quilometragem real, viabilizamos a troca do seu carro usado e entregamos seu novo carro na segurança de sua casa! Agende já seu atendimento!;16/09;19:20;professional;50990;Carros, vans e utilitários;GM - CHEVROLET JOY HATCH 1.0 8V FLEX 5P MEC;GM - CHEVROLET;2020;62327;;Flex;;57052405;Maceió;Gruta de Lourdes;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-joy-2019-2020-1-0-spe4-flex-manual-882360282;Passeio;Manual;;4 portas;7;yes;;yes;yes;;yes;;;;
Onix Plus LTZ 1.0 Turbo Flex Automático 2020;922441562;"ONIX PLUS LTZ 1.0 TURBO FLEX AUTOMÁTICO 2019/2020 ""ÚNICO DONO"" ""Emplacado 2021""  Ar Condicionado Direção Elétrica AirBags Duplos Frontais AirBags Laterais e de Cortina Freios ABS Controle de Tração e Estabilidade Trava Elétrica Alarme Chave com Sensor de Presença Botão Start para Funcionar o Carro Faróis com Regulagem de Altura Faróis de Neblina Central Multimídia com Espelhamento de Smartphone, Bluetooth, USB, AUX, Rádio AM e FM Computador de Bordo Câmera de Ré Sensor de Ré Rodas de Liga Leve Aro ""15  Manual Completo Chave Reserva ""Garantia de FÁBRICA até 11/2022""  Supreme CAR VENDA, TROCA, COMPRA, FINANCIAMENTO. Tratar com LUCIANO: WhatsApp (82) 9 9953... ver número Sigam Nosso Instagram: @supremecar_al ";16/09;19:20;professional;82000;Carros, vans e utilitários;GM - CHEVROLET ONIX SEDAN PLUS LTZ 1.0 12V TB FLEX AUT.;GM - CHEVROLET;2020;14180;1.0;Flex;Preto;57046000;Maceió;Serraria;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/onix-plus-ltz-1-0-turbo-flex-automatico-2020-922441562;Sedã;Automático;Elétrica;4 portas;9;yes;yes;yes;yes;yes;yes;yes;yes;yes;
Uno Attractive 2020 ;928561085;Uno Attractive 2020 1.0 completo com 34 mil km rodado único dono em perfeito estado de uso;16/09;19:16;professional;47900;Carros, vans e utilitários;FIAT UNO ATTRACTIVE 1.0 EVO FIRE FLEX 8V 5P;FIAT;2020;34000;1.0;Flex;Branco;57052400;Maceió;Gruta de Lourdes;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/uno-attractive-2020-928561085;Hatch;Manual;Hidráulica;4 portas;0;yes;yes;yes;yes;yes;;yes;;;
ONIX 2016/2016  LT 1.4, COMPLETO, revisado , ÚNICA DONA .;903782465;ONIX LT 1.4 ANO 2016/2016, COMPLETO, revisado , som mylink com controle no volante , pintura 100%, veículo única dona , econômico , confortável , manutenção barato , CARRO DE GARAGEM E PROCEDÊNCIA , documentação pronta para transferência . CONT . 9992... ver número.   Zap   OBS: Aceito carro de menor valor como parte do pagamento , cartao de crédito em até 24x com acréscimo da financeira e financiamento por todos os bancos .  END .: AV. Comendador Gustavo Paiva , 3356, Mangabeiras Maceio Al .( de frente ao posto extra mangabeiras.)  CONT .: 9992... ver número.      Zap.     VITORIA VEÍCULOS , A SUA LOJA DE SEMINOVOS .  ATÉ AQUI O SENHOR TEM NOS AJUDADO.;16/09;19:10;professional;48990;Carros, vans e utilitários;GM - CHEVROLET ONIX HATCH LT 1.4 8V FLEXPOWER 5P MEC.;GM - CHEVROLET;2016;0;1.4;Flex;Preto;57037285;Maceió;Mangabeiras;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/onix-2016-2016-lt-1-4-completo-revisado-unica-dona-903782465;Hatch;Manual;Hidráulica;4 portas;7;yes;yes;yes;yes;yes;yes;yes;yes;;
Celta 2012;909608512;Celta 2012 bem conservado, (4) pneus (bons/novos), quitado, já emplacado Mercosul 21, versão completa. Veículo ideal para pessoas exigentes, com nível de carro 0KM, além disso super econômico.   FINANCIO ACEITO CARTÃO em até 12X com as taxas da maquineta por conta do comprador.   FALE DIRETO COM O RESPONSÁVEL  TELEFONE (82) 9982... ver número;16/09;19:08;professional;25000;Carros, vans e utilitários;GM - CHEVROLET CELTA;GM - CHEVROLET;2012;83000;1.0;Flex;;57048810;Maceió;Antares;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/celta-2012-909608512;Hatch;Manual;Hidráulica;;;;;;;;;;;;
VOYAGE COMFORTLINE 1.6 MSI 2018;932377483;VOYAGE COMFORTLINE 1.6 MSI 2018  AR CONDICIONADO, DIREÇÃO HIDRÁULICA, VODROS ELÉTRICOS 4P, RETROVISORES ELÉTRICOS COM LED INDICADOR, CHAVE CANIVETE, FARÓIS DE MILHA, SENSOR DE RÉ ORIGINAL, CENTRAL MULTIMÍDIA ORIGINAL COM SISTEMA CAR PLAY E TELA DE 6,7?, VOLANTE MULTIFUNCIONAL COM COMANDOS DE SISTEMA DE SOM E COMPUTADOR DE BORDO I-SYSTEM, RODAS DE LIGA LEVE 15?, AIRBAG, FREIOS ABS...  OBS: VEÍCULO ÚNICO DONO, SUPER CONSERVADO, MANUAL E CHAVE RESERVA.  ACEITO TROCA, FINANCIO PELO BANCO EM ATÉ 60x, COM ENTRADA MÍNIMA DE 20%.  CONTATO: 82 9918... ver número (WHATSAPP)  BUSCA OLX:  PORSCHE CAYENNE - BMW X3 X5 X6 - MERCEDES - AUDI - JAGUAR - LAND ROVER - MINI - MASERATI - HUMMER - VOLVO - HRV - KICKIS - TCROSS - TRACKER - CACTUS - TORO AMAROK : RANGER : TRITON : S10 : FRONTIER : F150 : RAPTOR : EDGE : EVOQUE: L200 : Alfa romeo Aston Martin Bentley Maserati Mazda Rolls Royce Shelby Smart Fortwo Troller Willys Audi A1 A3 A4 A5 A6 A7 A8 Allroad Q3 Q5 Q7 R8 RS RS2 RS3 RS4 RS5 RS6 RS7 S3 S4 S5 S6 S7 S8 SQ5 TT TTS BMW 1M 116i 118i 120i 125i 130i 135i 225i 316i 318i 320i 325i 328i 330i 335i 420i Cadillac CTS CTS-V Escalade SRX Chevrolet Gran Blazer Bonanza GMC Hummer H1 H2 H3 Lincoln Lobini Lotus Camaro Blindado Captiva Caravan Cheyenne Corvette Grand Sport Coupé Cruze Impala Malibu Omega C4 Lounge Picasso C5 C6 C8 DS3 DS4 DS5 Jumper Xantia Xsara Dodge Challenger Charger Dakota Dart Durango Journey Ram Viper Ferrari 430 Scuderia 458 Italia Spider 488 GTB 599 GTB California F12 F355 F360 F430 Fiat 500 Cinquecento Freemont Ford Edge Explorer F-1 F-100 F-1000 F-150 F-250 F-350 Focus Fusion Jeep Landau Maverick Mustang Honda Accord City Civic CRV Fit HR-V Prelude Hyunday Atos Azera Elantra Equus Galloper Genesis Santa Fé H1 H100 HB20 Hb20S HB20X HR I30 IX35 Sonata Terracan Tucson Veloster Vera Cruz Infiniti EX35 FX35 FX37 FX45 FX50 G35 G37 QX56 QX60 QX70 Jac J2 J3 J5 J6 T6 T8 Jaguar F-Type S-Type XF XFR XJ XJ6 XJ8 XK Carens Carnival Optima Sorento Soul Sportage Lamborghini Aventador Gallardo Huracán Land Rover Defender Discovery 2 3 4 Sport Freelander 2 Range Rover Evoque Sport Vogue Lexus ES 330 350 IS 250 350 Is F RX 350 Mercedes-Benz 190 E 280 S A190 A200 A250 A45 AMG B170 B180 B200 C180 C200 C230 C240 E350 E500 E63 GL 500 GLA 200 GLK ML S500 S63 S65 SL 320 350 500 SLK SLS Cooper Countryman Jhon Cooper Works One Paceman Roadster Mitsubishi 3000 gt Airtrek ASX Eclipse Galant Grandis L200 Outdoor Savana Triton Lancer Evolution Outlander Pajero Dakar Full Io Sport Tr4 Nissan 350z 370z Altima Frontier GT-R Murano Pathifinder Xterra X-Trail Peugeot 2008. ver número 308 cc 406 407 408 508 RCZ Porsche 911 Boxster Cayenne Cayman R S Macan Panamera Spyder Renault Subaru Forester Imprenza Legacy Outback SVX Tribeca XV Suzuki Mini Toyota Camry Corolla Fj Cruiser Hilux SW4 Land Prado Paseo Previa Prius RAV4 Tundra Venza Volkswagen Amarok Eos Fusca golf Jetta Variant New Beetle Passat Tiguan Touareg Volvo C30 S40 S60 S70 S80 V40 V50 V60 V70 XC60 XC70 XC90 428i 528i 530i 535i 540i 545i 550i 640i 650i 740i 750i 850i M3 M4 M5 M6 X1 X3 X4 X5 X6 Z3 Z4 C250 C280 C300 C320 C350 C63 CL63 CLA 200 250 45 CLASSE A CLC 200 CLK CLS E250 E320 120 XK8 XKR X-TYPE Jeep Cherokee CJ5 Compass Renegade Wrangler Kia Cadenza Turbo Diesel Chrysler 300 C M Grand Caravan Neon PT Cruiser Stratus TownGM Onix Ford Ka Hyundai HB20 Renault Kwid VW Gol Fiat Argo GM Prisma VW PolO Jeep Renegade Jeep Compass Hyundai Creta Toyota Corolla Nissan Kicks Fiat Mobi Ford Ka SedaN Renault Sandero Honda HR-V VW Virtus VW Fox/Cross Fox Toyota Yaris Hb VW T Cross Hyundai HB20S Ford EcoSport VW Voyage Toyota Yaris Sedan Renault Captur GM Spin Honda Civic Renault Logan GM Onix Plus Renault Duster Honda Fit Fiat Cronos Nissan Versa Fiat Uno Toyota Etios Hb GM Cruze Sedan Citroen C4 Cactus GM Tracker Fiat Siena Honda City Toyota Hilux Sw4 VW Up Toyota Etios Sedan GM Cobalt VW Tiguan Honda WR-V VW Jetta Peugeot 2008 Chery Tiggo 5X Jeep Compass Hyundai Creta Nissan Kicks Honda HR-V VW T Cross Ford EcoSport Renault Captur Renault Duster Citroen C4 Cactus GM Tracker Toyota Hilux Sw4 VW Tiguan Honda WR-V Peugeot 2008 Chery Tiggo 5X Chery Tiggo Hyundai Ix35 GM Equinox Bmw X1 Toyota Rav4 Kia Sportage Mitsubishi ASX Hyundai Tucson Volvo Xc60 GM Trailblazer Land Rover Discovery Citroen Aircross M.Benz Classe GLA Volvo XC40 Peugeot 3008 Mitsubishi Eclipse Cross Mitsubishi Pajero Chery Tiggo 7 Mitsubishi Outlander Audi Q5 Suzuki Jimny Audi Q3 Suzuki Vitara Troller T4 79 Fiat Strada Fiat Toro VW Saveiro Toyota Hilux GM S10 Ford Ranger VW Amarok Fiat Fiorino Renault Oroch GM Montana Mitsubishi L200 Renault Master Nissan Frontier Fiat Ducato Hyundai HR VW Express Kia K2500 Peugeot Expert Citroen jumpy Iveco Daily 35S14 Peugeot Partner M.Benz Sprinter 313 Iveco Daily 30S13 Ram 2500 Citroen Berlingo M.Benz Sprinter Peugeot Boxer Jac V260 Iveco Daily Citroen Jumper M.Benz SprinterD GOL CELTA POLO CORSA ASTRA C3 PALIO MOBI ARGO I30 Acre Rio Branco Alagoas Maceió Amapá Macapá Amazonas Manaus Bahia Salvador Ceará Fortaleza Distrito Federal Brasília Espírito Santo Vitória Goiás Goiânia Maranhão São Luís Mato Grosso Cuiabá Mato Grosso do Sul Campo Grande Minas Gerais Belo Horizonte Pará Belém Paraíba João Pessoa Paraná Curitiba Pernambuco Recife Piauí Teresina Rio de Janeiro Rio de Janeiro Rio Grande do Norte Natal Rio Grande do Sul Porto Alegre Rondônia Porto Velho Roraima Boa Vista Santa Catarina Florianópolis São Paulo São Paulo Sergipe Aracaju Tocantins Palmas.;16/09;19:02;professional;49900;Carros, vans e utilitários;VW - VOLKSWAGEN VOYAGE COMF/HIGHLI. 1.6 MI T.FLEX 8V 4P;VW - VOLKSWAGEN;2018;68000;1.6;Flex;Branco;57080525;Maceió;Jardim Petrópolis;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/voyage-comfortline-1-6-msi-2018-932377483;Sedã;Manual;Hidráulica;4 portas;5;yes;yes;yes;yes;yes;yes;yes;yes;;
C3 1.4 GLX 2011;837038367;Carro todo revisado, pneus novos, Emplacado 2021. Há 22 anos com você!    Capela Revcar 82-3223... ver número 82-9.9327... ver número 82-9.9125... ver número   Entrada em até 18x no cartão Financiamento em até 60x ;16/09;19:00;professional;22990;Carros, vans e utilitários;CITROEN C3 GLX 1.4/ GLX SONORA 1.4 FLEX 8V 5P;CITROEN;2011;90;1.4;Flex;Prata;57051240;Maceió;Farol;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/c3-1-4-glx-2011-837038367;Hatch;Manual;Elétrica;4 portas;9;yes;;yes;yes;yes;yes;yes;;;
RENEGADE 2019/2020 1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;920382194;Veículo: JEEP RENEGADE 1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO Ano: 2019... ver número Cor: Cinza  Informações complementares: Único Dono, IPVA PAGO, Licenciado  Outros opcionais: Freio ABS, Rodas de liga leve, Bancos de couro, Desembaçador traseiro, Rádio, Encosto de cabeça traseiro, Volante com Regulagem de Altura, Sensor de estacionamento, Banco do motorista com ajuste de altura, Computador de bordo, Controle automático de velocidade, Controle de tração  Observação:Se você está sonhando em trocar de carro, agora você está na direção certa! O seminovo mais novo do Brasil está na Localiza Seminovos, onde você encontra a maior variedade de modelos do mercado e muitas vantagens, como condições únicas de financiamento, entrada facilitada em até 10 vezes sem juros, carros revisados e com garantia de quilometragem real, viabilizamos a troca do seu carro usado e entregamos seu novo carro na segurança de sua casa! Agende já seu atendimento!;16/09;18:53;professional;93690;Carros, vans e utilitários;JEEP RENEGADE1.8 4X2 FLEX 16V AUT.;JEEP;2020;51090;;Flex;;57052405;Maceió;Gruta de Lourdes;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/renegade-2019-2020-1-8-16v-flex-longitude-4p-automatico-920382194;Passeio;Automático;;4 portas;6;yes;;yes;yes;;yes;;;;
