Title;ID;Description;Date;Hour;Class;Price;Categoria;Tipo;Área útil;Quartos;Banheiros;Vagas na garagem;Detalhes do imóvel;Detalhes do condominio;CEP;Município;Bairro;Logradouro;Link;Área construída;Tamanho;Condomínio;Acomoda;Características;IPTU
Vendo Casa no Feitosa;964617771;Vendo casa no Feitosa  2/4,sala,cozinha,banheiro,Área de serviço, garagem, varanda. Reformada recentemente.  Obs.: A casa é somente no térreo com entrada independente.  Aceitamos financiamento.  (82) 9882... ver número Valor: 150 mil;03/12;01:08;amateur;150000;Casas;Venda - casa em rua pública;;2;2;;Área de serviço, Ar condicionado, Varanda;;57043495;Maceió;Feitosa;Rua Tucuruvi;https://al.olx.com.br/alagoas/imoveis/vendo-casa-no-feitosa-964617771;;;;;;
Condomínio Germano Santos 1º Andar Apartamento Reformado;956594582;"Apartamento todo reformado com piso do tipo A, sendo no banheiro e na cozinha até o teto, no Residencial Germano Santos. Com 6 moveis na cozinha de aço Itatiaia; Suporte de Microondas; Suporte de Televisão na Sala; Suporte para Rede na Sala; Grades nas três Janelas e na porta; Espelho no banheiro de 1x1,5m; Pia do banheiro de Mármore acompanhando o espelho; Mesa pequena de mármore na cozinha; Telas de proteção contra insetos nas janelas da cozinha, banheiro, sala e quartos.";03/12;00:47;amateur;115000;Apartamentos;Venda - apartamento padrão;52m²;2;1;1;Área de serviço, Armários na cozinha, Mobiliado;Condomínio fechado, Segurança 24h, Portaria, Permitido animais, Salão de festas;57061410;Maceió;Tabuleiro do Martins;Avenida Doutor Sebastião Correia da Rocha;https://al.olx.com.br/alagoas/imoveis/condominio-germano-santos-1-andar-apartamento-reformado-956594582;;;R$ 240;;;
Edifício Strauss. Jatiúca. Todo mobiliado. Casa inteligente com Alexa.;917976614;"(SEM CORRETOR). Seu quarto e sala, com varanda, todo comandado por inteligência artificial e Alexa, a apenas 100m da melhor e mais bonita praia de Maceió.   Não há NENHUM apartamento igual !!!  Tudo novinho em folha. Eletros comandados pela Alexa e móveis planejados por designer. Nascente (sem incidência solar da tarde). Duas quadras da praia. Melhor região de Maceió (melhor área nobre).  Alexa comanda com sua voz: - smart TV sala 55"" (com inteligência artificial e bluetooth) - smart TV quarto 32"" (fire stick amazon - controle com Alexa) - fechadura eletrônica na porta da sala (cartão tag, Alexa, código numérico e biometria) - super som tipo home theater (Alexa eco studio) - Alexa eco dot no quarto - 4 lâmpadas do pendente, painéis de led e fitas led em painéis de madeira todos com wi-fi e comandos pela Alexa - ar condicionado split com plug smart  - porteiro eletrônico com campainha, sensor de presença, infravermelho, viva voz e câmera - 2 tomadas da cozinha com plug smart (wi-fi e Alexa) - câmera xaiomi 360º (com função babá eletrônica, infravermelho, visão noturna e ultra sensor de presença [silhueta e luz]) - lava e seca LG com inteligência artificial e wi-fi e Alexa/google assistente  Todos estes eletros inclusos: - geladeira eletrônica - torre elétrica embutida (máquina lava louça, forno elétrico e micro-ondas - [linha fischer]) - máquina lava-roupa smart (lava e seca) - coifa depuradora touch (linha fischer) - detector de fumaça com wi-fi e aviso no celular por aplicativo - airfry midea - cama com colchão de molas ensacadas - ar condicionado split inverter 9000btus com plug wi-fi comandado pela alexa - cadeira de escritório tipo presidente (cavaletti) - sofá 2 lugares, retrátil, planejado sob medida - poltrona do papai, totalmente reclinável,  de couro legítimo, preta - mesa e duas cadeiras de varanda e mini churrasqueira - robô de limpeza midea, com controle remoto (limpa e passa, recarrega automaticamente, sobe tapete e mapeia ambiente de forma inteligente)  Móveis planejados também (conforme imagens). Padrão Finger (alemã).";03/12;00:27;amateur;500000;Apartamentos;Venda - apartamento padrão;45m²;1;1;1;Área de serviço, Armários embutidos, Armários na cozinha, Mobiliado, Ar condicionado, Churrasqueira, Varanda, Academia, Piscina;Condomínio fechado, Elevador, Segurança 24h, Portaria, Permitido animais, Academia, Piscina, Salão de festas;57035690;Maceió;Jatiúca;Avenida Hamilton de Barros Soutinho;https://al.olx.com.br/alagoas/imoveis/edificio-strauss-jatiuca-todo-mobiliado-casa-inteligente-com-alexa-917976614;;;R$ 500;;;R$ 1.200
Vende-se apartamento 3 quartos ;964614684;Apartamento localizado no condomínio Teotônio Vilela. Térreo. Três quartos, sendo um suíte. Possui varanda, garagem, água individualizada.  Observação: Pode ser financiado pela CAIXA.;03/12;00:26;amateur;95000;Apartamentos;Venda - apartamento padrão;;3;2;1;Área de serviço, Armários na cozinha, Varanda;Condomínio fechado, Segurança 24h, Portaria, Permitido animais, Salão de festas;57045000;Maceió;Barro Duro;Avenida Muniz Falcão;https://al.olx.com.br/alagoas/imoveis/vende-se-apartamento-3-quartos-964614684;;;R$ 80;;;
Benedito bentes1 ;964612874;Ótima oportunidade casa toda na cerâmica, 3/4 um banheiro dois canis ,rua calama e tranquila na av prtagy chuveirão com espaço para 3 carros;03/12;00:15;amateur;180000;Casas;Venda - casa em rua pública;;3;1;3;;Permitido animais;57084011;Maceió;Benedito Bentes;Rua Alice Uchôa Botelho;https://al.olx.com.br/alagoas/imoveis/benedito-bentes1-964612874;;;;;;
Apartamento à venda com 3 dormitórios em Mangabeiras, Maceio cod:V9565;964612586;02/12 - CRECI 468-J - Ref. Imovel: V9565 - APARTAMENTO COM 40mCARACTERISTICAS DO CONDOMINIO: Piscina Adulto, Piscina Infantil, Salao de Festa, Salao de Jogos.;03/12;00:13;professional;268000;Apartamentos;Venda - apartamento padrão;40m²;3;;1;;;57037440;Maceió;Mangabeiras;Rua Sara II (Lot Jussara);https://al.olx.com.br/alagoas/imoveis/apartamento-a-venda-com-3-dormitorios-em-mangabeiras-maceio-cod-v9565-964612586;;;;;;
Casa em arapiraca bom susseso. ;931054339;Casa bem localizada perto de tudo.  Portão elétrico cerca elétrica 2 quartos quintal grande. Toda forrada no gesso. Pronta pra morar vendo analiso trocas em carro. ;03/12;00:08;amateur;110000;Casas;Venda - casa em rua pública;;2;1;2;;Área murada, Permitido animais, Portão eletrônico;57308880;Arapiraca;Planalto;Rua Marciano Ferreira Albuquerque;https://al.olx.com.br/alagoas/imoveis/casa-em-arapiraca-bom-susseso-931054339;;;;;;
Linda casa condomínio águas mansas ! ;963026535;Casa incrível em terreno de 640 metros ! Piscina privativa com raia de 20 metros ! Quadra privativa beach tênis com tamanho oficial! 4 suítes sendo uma térrea ! Casa entregue com móveis planejados ! Previsão de entrega junho/2022 Aceitamos carros e imóveis como parte do pagamento !;02/12;23:59;amateur;1200000;Casas;Venda - casa em condominio fechado;;4;5 ou mais;3;Área de serviço, Armários na cozinha, Armários embutidos, Churrasqueira, Varanda;Condomínio fechado, Segurança 24h, Área murada, Permitido animais, Piscina, Academia;57935000;Paripueira;;;https://al.olx.com.br/alagoas/imoveis/linda-casa-condominio-aguas-mansas-963026535;260m²;;R$ 550;;;R$ 0
Repasso 2 Lotes Juntos em Condomínio Fechado;955398693;Código do anúncio: Lote Márcio  Repasso 2 Lotea Juntos    Condomínio Jardins Barnabe    Próximo ao Aeroporto    Lotes medindo 7.50 x 18 Cada    Condomínio Fechado com total segurança excelente área de lazer com Piscina , Salão de Festa , Churrasqueira e Playground para as Crianças.      Assumir Prestações de 319 de cada Lote .;02/12;23:59;professional;35000;Terrenos, sítios e fazendas;Terrenos;;;;;;;57100000;Rio Largo;;;https://al.olx.com.br/alagoas/terrenos/repasso-2-lotes-juntos-em-condominio-fechado-955398693;;0m²;;;;
VENDO CHAVE;938962998;VENDO CHAVE CASA TODA REFORMADA,MURADA, COZINHA REFORMADA, ÓTIMA LOCALIZAÇÃO DE ESQUINA PRÓXIMO A IGREJA, SUPERMERCADO, LOTÉRICA E UPA( CONDOMÍNIO RECANTOS DAS LAGOAS NA RUA PRINCIPAL);02/12;23:56;amateur;77000;Casas;Venda - casa em condominio fechado;;3;1;2;;Condomínio fechado, Segurança 24h, Área murada, Permitido animais, Portão eletrônico;57120000;Satuba;;;https://al.olx.com.br/alagoas/imoveis/vendo-chave-938962998;;;;;;
Casa alto padrão  jardim América  Antares;890970118;Excelente casa com 3 quartos e uma suíte Master com closet todos os matérias  de altíssima qualidade área de serviço  sala de estar cozinha toda equipada com piscina etc... mais informações: Cicero Minervino 82 9888... ver número obs: tem dce ;02/12;23:55;professional;800000;Casas;Venda - casa em condominio fechado;;3;4;2;Área de serviço, Armários na cozinha, Armários embutidos, Ar condicionado, Churrasqueira, Varanda, Quarto de serviço;Condomínio fechado, Segurança 24h, Área murada, Permitido animais, Portão eletrônico, Piscina;57083112;Maceió;Antares;Rua Governador Francisco Mello;https://al.olx.com.br/alagoas/imoveis/casa-alto-padrao-jardim-america-antares-890970118;250m²;;R$ 300;;;
Chalé | 2 quartos | Barra de São Miguel;944175478;Chalé Duplex com 2 quartos sendo 1 suíte, 2 banheiros sendo 1 em cada pavimento, varanda nos quartos, cozinha americana e área de serviço externa. Condomínio com água incluso, caseiro e 1 faxina por semana.;02/12;23:50;professional;230000;Casas;Venda - casa em condominio fechado;;2;0;1;;;57180000;Barra de São Miguel;;;https://al.olx.com.br/alagoas/imoveis/chale-2-quartos-barra-de-sao-miguel-944175478;79m²;;R$ 450;;;
Casa bairro cacimbas ;964609589;Casa solta de um lado 3 quartos  Garagem lateral  Com cacimba  Cozinha americana ;02/12;23:46;amateur;288000;Casas;Venda - casa em rua pública;;3;2;1;Área de serviço, Armários embutidos;Área murada;57304520;Arapiraca;Cacimbas;Rua Leite Neto;https://al.olx.com.br/alagoas/imoveis/casa-bairro-cacimbas-964609589;175m²;;;;;
Casa de condomínio fechado a 50m do mar com 2 quartos na Barra de São MIguel;964607651;"Código do anúncio: BSMIGDEZ21  A casa em condomínio  fechado com 10mcasas duplex, sobrado está localizado no Loteamento Barra Mar, a 50 metros do mar,  possui 60 metros quadrados com 2 quartos e 2 banheiros, toda mobiliada;   Possui jardim, espaço para festas, sacada.   Vai lhe possibilitar curtir os dias mais quentes na piscina, todo o conforto do ar condicionado nos dias mais quentes. Churrasqueira para você aproveitar nos momentos de descontração.   Tem privacidade por estar dentro de um condomínio fechado.   Será entregue com todos o s móveis em excelenete estado de conservaçao.";02/12;23:37;professional;285000;Casas;Venda - casa em condominio fechado;;2;2;1;Ar condicionado, Área de serviço, Armários embutidos, Armários na cozinha, Varanda, Mobiliado, Piscina;Condomínio fechado, Piscina, Permitido animais;57180000;Barra de São Miguel;;;https://al.olx.com.br/alagoas/imoveis/casa-de-condominio-fechado-a-50m-do-mar-com-2-quartos-na-barra-de-sao-miguel-964607651;60m²;;R$ 350;;;
Casa em condomínio fechado;964606445;Casa em condomínio fechado. A mesma fica em uma das ruas paralelas sem garagem. Possui box no banheiro, grades de segurança na parte traseira e portão lateral. Condomínio incluso. Contato: (82)9961... ver número;02/12;23:35;amateur;600;Casas;Aluguel - casa em condominio fechado;;2;1;0;Área de serviço, Varanda;Condomínio fechado, Segurança 24h, Área murada, Permitido animais, Portão eletrônico, Piscina;57072245;Maceió;Cidade Universitária;Avenida Doutor Manoel Valente de Lima (Lot Grand Jardim);https://al.olx.com.br/alagoas/imoveis/casa-em-condominio-fechado-964606445;44m²;;;;;
Apto com 71 m2 e 2/4 no Hotel Jatiuca By Slaveiro.;964606168;Código do anúncio: AP0808_GA  Encontrar o imóvel dos sonhos nunca foi tão fácil como na parceria entre a Arbo e a GA IMÓVEIS! Basta preencher o formulário com nome, telefone e e-mail e enviar. Pronto! Agora o corretor da GA IMÓVEIS entrará em contato para confirmar interesse e agendar uma visita. Se tiver alguma dúvida, é só entrar em contato com a Arbo pelo número anunciado ao lado. Lembre-se que o imóvel está sujeito à confirmação de disponibilidade e valores. Confira mais sobre o imóvel da GA IMÓVEIS: PÉ NA AREIA!NASCENTE!Descrição: Sala para dois ambientes, hall interno, varanda, 2 quartos, 1 suíte, 1 wc social.Localização: Cruz Das Almas.   Área: 71 M2.Revestimento: Pastilha, cerâmica e vidro.Vagas de garagem: 1 vagas. Situação do imóvel: Mobiliado. MEDIA do condomínio: 1.500,00 (agua, gerador, espaço mulher, elevadores, pracinha, academia de musculação, piscina, recepção 24 horas, guarita de segurança, playground, portão automático).Valor: 469.000,00Wagner Veloso Contatos: +55  (WhatsApp) Sala de estar Decorado Sacada com Skin Glass Restaurante Privado Elevador com Gerador Sala de Pilates Piscina com Raia Sala de Massagem Andar Alto Armário Suíte Portaria 24h Salão gourmet Sol da manhã Aquecimento Eletrico Armário Banheiro Portão Eletrônico Guarita Com Segurança Sauna Úmida Salão com Jogos Sauna tipo Seca Piscina Para Crianças Piscina Aquecida Circuito Interno TV Cerâmica Sala de Academia Gourmet;02/12;23:34;professional;469000;Apartamentos;Venda - apartamento padrão;71m²;2;2;1;Varanda, Mobiliado, Piscina, Ar condicionado;Salão de festas, Piscina;57038155;Maceió;Cruz das Almas;Travessa Professor Derval Macário dos Santos;https://al.olx.com.br/alagoas/imoveis/apto-com-71-m2-e-2-4-no-hotel-jatiuca-by-slaveiro-964606168;;;R$ 1.500;;;R$ 0
Apartamento p/ venda da chave ou aluguel. Res. Felicitá, Arapiraca;950780000;2 quartos sendo 1 suíte, cozinha com área de serviço, salas de estar e jantar.  Valor da prestação R$ 1,040.00  Contato: 82 9993... ver número;02/12;23:32;amateur;50000;Apartamentos;Venda - apartamento padrão;54m²;2;2;2;Área de serviço, Churrasqueira, Piscina;Condomínio fechado, Elevador, Segurança 24h, Portaria, Permitido animais, Piscina, Salão de festas;57314120;Arapiraca;Itapoã;Rua Né Marcelino;https://al.olx.com.br/alagoas/imoveis/apartamento-p-venda-da-chave-ou-aluguel-res-felicita-arapiraca-950780000;;;R$ 250;;;
