Title;ID;Description;Date;Hour;Class;Price;Categoria;Modelo;Marca;Ano;Quilometragem;Potência do motor;Combustível;Câmbio;Direção;Cor;Portas;Vidro elétrico;Air bag;Trava elétrica;Ar condicionado;Alarme;Som;Câmera de ré;CEP;City;Neighborhood;Link;Tipo de veículo;Final de placa;Direção hidráulica;Sensor de ré
Gol g5 extra ;965250639;Completo, 2010/2010,  pneus seminovos,  som, pintura nova,  bancos Novos,  ar gelando,  9992... ver número, vendo/Troco /financou, carro de particular ;07/12;19:15;amateur;24000;Carros, vans e utilitários;VW - VOLKSWAGEN GOL 1.0 TREND/ POWER 8V 4P;VW - VOLKSWAGEN;2010;125000;1.0;Flex;Manual;Hidráulica;Prata;4 portas;yes;;yes;yes;yes;yes;;57046142;Maceió;Serraria;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/gol-g5-extra-965250639;Hatch;0;yes;
Voyage;966282328;Voyage 2010 todo filé não tem nada para fazer é só andar ar condicionado funcionando vidro elétrico as quatro portas direção hidráulica banco revestido tudo em dias interessado chamar no Zap 9874... ver número;07/12;19:15;amateur;27000;Carros, vans e utilitários;VW - VOLKSWAGEN TAOS;VW - VOLKSWAGEN;2010;99320;1.0;Gasolina;Manual;Hidráulica;Prata;4 portas;yes;;yes;yes;yes;yes;yes;57000000;Maceió;;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/voyage-966282328;Passeio;8;yes;yes
Ford Ka 98 ;966281928;Carro emplacado, básico e precisando de uma revisão.aceitou troca por moto número pra contato 82 9937... ver número ZAP 8299... ver número.;07/12;19:14;amateur;4500;Carros, vans e utilitários;FORD KA;FORD;1998;250000;1.0;Gasolina;Manual;Mecânica;Verde;2 portas;;;;;;;;57935000;Paripueira;;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-98-966281928;Hatch;;;
Vendo Polo 1.6 2004;966280895;Vendo Polo 1.6 Ano 2004, Carro todo resvisado só pegar e andar, Vendo por 6 Mil só estar desemplacado ótimo para interior, mais querendo pode regularizar.. Mais informações chama No WhatsApp 9817... ver número;07/12;19:12;amateur;6500;Carros, vans e utilitários;VW - VOLKSWAGEN POLO 1.6 MI/ S.OURO 1.6MI 101CV 8V 5P;VW - VOLKSWAGEN;2004;5700000;1.6;Gasolina;Manual;Hidráulica;Preto;4 portas;yes;yes;yes;yes;yes;;;57150000;Pilar;;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/vendo-polo-1-6-2004-966280895;Hatch;8;yes;
CHEVROLET ONIX JOY BLACK EDTION FLEX 2021;966278880;CHEVROLET ONIX Joy black edtion Flex 2021/2021 Ar Condicionado Vidros Elétricos Travas Elétricas Alarme Air Bag ABS Direção Elétrica Banco com regulagem altura KM 0 veículo zero km  AL VEÍCULOS É UMA EMPRESA TRADICIONAL QUE HÁ 15 ANOS  TRABALHA PARA TRANSFORMAR OS SONHOS DE SEUS CLIENTES EM REALIDADE.  *RESERVAMOS O DIREITO DE CORRIGIR EVENTUAIS ERROS DE DIGITAÇÃO.  TRABALHANDO NESTE OBJETIVO, MANTEMOS O NOSSO ESTOQUE ATUALIZADO, COM VEÍCULOS DE QUALIDADE,  PROCEDÊNCIA E VARIEDADE PARA GARANTIR QUE VOCÊ POSSA FAZER A MELHOR ESCOLHA CONOSCO.  VENHA NOS VISITAR E CONFIRA NOSSO AMPLO ESTOQUE DE VEÍCULOS SEMINOVOS!  ATENDIMENTO NO LINK ABAIXO. https://linktr.ee/al_veiculosmcz  (82) 9910... ver número Alberto (82) 3221... ver número LOJA Avenida Senador Rui Palmeira N° 114 Levada - Maceió - AL ;07/12;19:08;professional;60990;Carros, vans e utilitários;GM - CHEVROLET ONIX HATCH JOY 1.0 8V FLEX 5P MEC.;GM - CHEVROLET;2021;0;;Flex;Manual;Elétrica;Preto;4 portas;yes;yes;yes;yes;yes;;;57017175;Maceió;Levada;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-joy-black-edtion-flex-2021-966278880;Hatch;2;;
Civic exl 2019 (leia o anuncio);939569884;Civic exl, 2019/19, carro extremante novo, nunca batido, interior impecável, revisões rigorosamente em dia na conssecionaria, IPVA pago, garantia de fabrica até 2022, sou o segundo dono, sem detalhes, a grade dianteira é cromada está com um adesivo em Black piano, se não gostar é fácil de tirar e não deixa marcas, manual, chave reserva tudo direitinho. ZAP 8299... ver número FIPE: 122.557,00;07/12;19:04;amateur;122000;Carros, vans e utilitários;HONDA CIVIC SEDAN EXL 2.0 FLEX 16V AUT.4P;HONDA;2019;19000;2.0 - 2.9;Flex;Automático;Elétrica;Cinza;4 portas;yes;yes;yes;yes;yes;yes;yes;57025080;Maceió;Poço;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/civic-exl-2019-leia-o-anuncio-939569884;Sedã;0;yes;yes
Vende-se Tucson;966276276;Ano 2009/2010 Ótimo estado Com kit gás geração 5 ( fica econômica) Completa, câmbio manual;07/12;19:03;amateur;30000;Carros, vans e utilitários;HYUNDAI TUCSON 2.0 16V MEC.;HYUNDAI;2009;156411;2.0 - 2.9;Gasolina;Manual;Hidráulica;Prata;4 portas;yes;yes;yes;yes;yes;yes;;57000000;Maceió;;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/vende-se-tucson-966276276;SUV;1;yes;yes
Buggy Fiber;966275603;Carro impecável.. Nada p fazer.. ;07/12;19:02;amateur;30000;Carros, vans e utilitários;VW - VOLKSWAGEN ;VW - VOLKSWAGEN;1990;0;;;;;;;;;;;;;;57955000;Maragogi;;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/buggy-fiber-966275603;;;;
Ranger XLT 2010;966275288;Ranger XLT 2010, GASOLINA, TODA REVISADA, PODE TRAZER SEU MECÂNICO PARA AVALIAR, 04 PNEUS NOVOS.;07/12;19:01;amateur;None;Carros, vans e utilitários;FORD RANGER XLT 2.3 16V 150CV CD REPOWER.;FORD;2010;230000;2.0 - 2.9;Gasolina;Automático;Hidráulica;Preto;4 portas;yes;;yes;yes;yes;yes;yes;57935000;Paripueira;;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/ranger-xlt-2010-966275288;Pick-up;5;yes;yes
Honda Civic LXS 1.8 Aut. 2013;961333295;Carro Bem conservado, com 4 Pneus Novos, direção elétrica, ar condicionado digital, trava elétrica, vidros elétricos, alarme, Banco de couro, Multimídia, Airbag e Abs?  Charllyson 9967... ver número zap ou ligação ;07/12;18:56;professional;64900;Carros, vans e utilitários;HONDA CIVIC SEDAN LXS 1.8/1.8 FLEX 16V AUT. 4P;HONDA;2013;102534;1.8;Flex;Automático;Elétrica;Preto;4 portas;yes;yes;yes;yes;yes;yes;;57052480;Maceió;Gruta de Lourdes;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-lxs-1-8-aut-2013-961333295;Sedã;8;;yes
GOL 2019/2020 1.6 MSI TOTALFLEX 4P MANUAL;962236159;Veículo: VOLKSWAGEN GOL 1.6 MSI TOTALFLEX 4P MANUAL Ano: 2019... ver número Cor: Prata  Informações complementares: Único Dono, IPVA PAGO, Licenciado  Outros opcionais: Freio ABS, Desembaçador traseiro, Limpador traseiro, Rádio, Sensor de estacionamento, Banco do motorista com ajuste de altura  Observação:Se você está sonhando em trocar de carro, agora você está na direção certa! O seminovo mais novo do Brasil está na Localiza Seminovos, onde você encontra a maior variedade de modelos do mercado e muitas vantagens, como condições únicas de financiamento, entrada facilitada em até 10 vezes sem juros, carros revisados e com garantia de quilometragem real, viabilizamos a troca do seu carro usado e entregamos seu novo carro na segurança de sua casa! Agende já seu atendimento!;07/12;18:54;professional;55440;Carros, vans e utilitários;VW - VOLKSWAGEN GOL PLUS 1.0 MI TOTAL FLEX 2P;VW - VOLKSWAGEN;2020;53579;;Flex;Manual;;;4 portas;yes;;yes;yes;yes;;;57061000;Maceió;Tabuleiro do Martins;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/gol-2019-2020-1-6-msi-totalflex-4p-manual-962236159;Passeio;3;yes;
vendo;966271468;FRONTIER 2012/2013 LE ATTACK 2.5 AUTOMÁTICO 190CV TURBO DIESEL. COMPLETA 183.000KM;07/12;18:54;amateur;93000;Carros, vans e utilitários;NISSAN FRONTIER LE ATTACK CD 4X4 2.5 TB DIE.AUT;NISSAN;2012;183000;2.0 - 2.9;Diesel;Automático;Hidráulica;Prata;4 portas;yes;yes;yes;yes;yes;yes;yes;57602130;Palmeira dos Índios;Paraíso;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/vendo-966271468;Pick-up;1;yes;
Onix LT 1.0 2018;957303917;Onix LT 1.0 2017/2018 com mylink  Whats. 9983... ver número;07/12;18:50;professional;53500;Carros, vans e utilitários;GM - CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.;GM - CHEVROLET;2018;51200;1.0;Flex;Manual;Elétrica;Cinza;4 portas;yes;yes;yes;yes;yes;yes;yes;57052480;Maceió;Gruta de Lourdes;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/onix-lt-1-0-2018-957303917;Hatch;7;;yes
VAN DUCATO ;966268657;VAN DUCATO 2014 2.3 VALOR: 86.890,00 ENTRADAS E PARCELAS A COMBINAR  MEU CONTATO: 98893 - 0260 SEM CONSULTA AO SPC E SERASA, TEMOS PLANOS PARA NEGATIVADOS.;07/12;18:42;amateur;86890;Carros, vans e utilitários;FIAT DUCATO MAXI. LONG. 2.3 T.ALTO ME DIESEL;FIAT;2014;214000;2.0 - 2.9;Diesel;Manual;Hidráulica;Branco;4 portas;;;;;;;;57052695;Maceió;Gruta de Lourdes;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/van-ducato-966268657;Van/Utilitário;;;
ONIX LT 2019;966267665;Vende-se Onix LT 2019 com cheiro de Novo. 22.662 KM originais. Whatsapp 82-9820... ver número.;07/12;18:39;amateur;57000;Carros, vans e utilitários;GM - CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.;GM - CHEVROLET;2019;22670;1.0;Flex;Manual;Elétrica;Preto;4 portas;yes;yes;yes;yes;yes;yes;;57083000;Maceió;Antares;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/onix-lt-2019-966267665;Hatch;7;yes;yes
VOYAGE 1.0 3 CIL 2019/2019;966265707;VOYAGE 1.0 3 CIL 2019/2019  PACOTE MEDIA PLUS, SOM ORIGINAL BLUETOOTH/USB/CD, AR CONDICIONADO, DIREÇÃO HIDRÁULICA, VODROS ELÉTRICOS, TRAVA ELÉTRICA, ALARME, AIRBAG, FREIOS ABS...   OBS: VEÍCULO TODO ORIGINAL BASTANTE CONSERVADO, CHAVE RESERVA.  FINANCIO PELO BANCO EM ATÉ 60x, ACEITO TROCA.  CONTATO: 82 9918... ver número (WHATSAPP)  BUSCA OLX:  PORSCHE CAYENNE - BMW X3 X5 X6 - MERCEDES - AUDI - JAGUAR - LAND ROVER - MINI - MASERATI - HUMMER - VOLVO - HRV - KICKIS - TCROSS - TRACKER - CACTUS - TORO AMAROK : RANGER : TRITON : S10 : FRONTIER : F150 : RAPTOR : EDGE : EVOQUE: L200 : Alfa romeo Aston Martin Bentley Maserati Mazda Rolls Royce Shelby Smart Fortwo Troller Willys Audi A1 A3 A4 A5 A6 A7 A8 Allroad Q3 Q5 Q7 R8 RS RS2 RS3 RS4 RS5 RS6 RS7 S3 S4 S5 S6 S7 S8 SQ5 TT TTS BMW 1M 116i 118i 120i 125i 130i 135i 225i 316i 318i 320i 325i 328i 330i 335i 420i Cadillac CTS CTS-V Escalade SRX Chevrolet Gran Blazer Bonanza GMC Hummer H1 H2 H3 Lincoln Lobini Lotus Camaro Blindado Captiva Caravan Cheyenne Corvette Grand Sport Coupé Cruze Impala Malibu Omega C4 Lounge Picasso C5 C6 C8 DS3 DS4 DS5 Jumper Xantia Xsara Dodge Challenger Charger Dakota Dart Durango Journey Ram Viper Ferrari 430 Scuderia 458 Italia Spider 488 GTB 599 GTB California F12 F355 F360 F430 Fiat 500 Cinquecento Freemont Ford Edge Explorer F-1 F-100 F-1000 F-150 F-250 F-350 Focus Fusion Jeep Landau Maverick Mustang Honda Accord City Civic CRV Fit HR-V Prelude Hyunday Atos Azera Elantra Equus Galloper Genesis Santa Fé H1 H100 HB20 Hb20S HB20X HR I30 IX35 Sonata Terracan Tucson Veloster Vera Cruz Infiniti EX35 FX35 FX37 FX45 FX50 G35 G37 QX56 QX60 QX70 Jac J2 J3 J5 J6 T6 T8 Jaguar F-Type S-Type XF XFR XJ XJ6 XJ8 XK Carens Carnival Optima Sorento Soul Sportage Lamborghini Aventador Gallardo Huracán Land Rover Defender Discovery 2 3 4 Sport Freelander 2 Range Rover Evoque Sport Vogue Lexus ES 330 350 IS 250 350 Is F RX 350 Mercedes-Benz 190 E 280 S A190 A200 A250 A45 AMG B170 B180 B200 C180 C200 C230 C240 E350 E500 E63 GL 500 GLA 200 GLK ML S500 S63 S65 SL 320 350 500 SLK SLS Cooper Countryman Jhon Cooper Works One Paceman Roadster Mitsubishi 3000 gt Airtrek ASX Eclipse Galant Grandis L200 Outdoor Savana Triton Lancer Evolution Outlander Pajero Dakar Full Io Sport Tr4 Nissan 350z 370z Altima Frontier GT-R Murano Pathifinder Xterra X-Trail Peugeot 2008. ver número 308 cc 406 407 408 508 RCZ Porsche 911 Boxster Cayenne Cayman R S Macan Panamera Spyder Renault Subaru Forester Imprenza Legacy Outback SVX Tribeca XV Suzuki Mini Toyota Camry Corolla Fj Cruiser Hilux SW4 Land Prado Paseo Previa Prius RAV4 Tundra Venza Volkswagen Amarok Eos Fusca golf Jetta Variant New Beetle Passat Tiguan Touareg Volvo C30 S40 S60 S70 S80 V40 V50 V60 V70 XC60 XC70 XC90 428i 528i 530i 535i 540i 545i 550i 640i 650i 740i 750i 850i M3 M4 M5 M6 X1 X3 X4 X5 X6 Z3 Z4 C250 C280 C300 C320 C350 C63 CL63 CLA 200 250 45 CLASSE A CLC 200 CLK CLS E250 E320 120 XK8 XKR X-TYPE Jeep Cherokee CJ5 Compass Renegade Wrangler Kia Cadenza Turbo Diesel Chrysler 300 C M Grand Caravan Neon PT Cruiser Stratus TownGM Onix Ford Ka Hyundai HB20 Renault Kwid VW Gol Fiat Argo GM Prisma VW PolO Jeep Renegade Jeep Compass Hyundai Creta Toyota Corolla Nissan Kicks Fiat Mobi Ford Ka SedaN Renault Sandero Honda HR-V VW Virtus VW Fox/Cross Fox Toyota Yaris Hb VW T Cross Hyundai HB20S Ford EcoSport VW Voyage Toyota Yaris Sedan Renault Captur GM Spin Honda Civic Renault Logan GM Onix Plus Renault Duster Honda Fit Fiat Cronos Nissan Versa Fiat Uno Toyota Etios Hb GM Cruze Sedan Citroen C4 Cactus GM Tracker Fiat Siena Honda City Toyota Hilux Sw4 VW Up Toyota Etios Sedan GM Cobalt VW Tiguan Honda WR-V VW Jetta Peugeot 2008 Chery Tiggo 5X Jeep Compass Hyundai Creta Nissan Kicks Honda HR-V VW T Cross Ford EcoSport Renault Captur Renault Duster Citroen C4 Cactus GM Tracker Toyota Hilux Sw4 VW Tiguan Honda WR-V Peugeot 2008 Chery Tiggo 5X Chery Tiggo Hyundai Ix35 GM Equinox Bmw X1 Toyota Rav4 Kia Sportage Mitsubishi ASX Hyundai Tucson Volvo Xc60 GM Trailblazer Land Rover Discovery Citroen Aircross M.Benz Classe GLA Volvo XC40 Peugeot 3008 Mitsubishi Eclipse Cross Mitsubishi Pajero Chery Tiggo 7 Mitsubishi Outlander Audi Q5 Suzuki Jimny Audi Q3 Suzuki Vitara Troller T4 79 Fiat Strada Fiat Toro VW Saveiro Toyota Hilux GM S10 Ford Ranger VW Amarok Fiat Fiorino Renault Oroch GM Montana Mitsubishi L200 Renault Master Nissan Frontier Fiat Ducato Hyundai HR VW Express Kia K2500 Peugeot Expert Citroen jumpy Iveco Daily 35S14 Peugeot Partner M.Benz Sprinter 313 Iveco Daily 30S13 Ram 2500 Citroen Berlingo M.Benz Sprinter Peugeot Boxer Jac V260 Iveco Daily Citroen Jumper M.Benz SprinterD GOL CELTA POLO CORSA ASTRA C3 PALIO MOBI ARGO I30 Acre Rio Branco Alagoas Maceió Amapá Macapá Amazonas Manaus Bahia Salvador Ceará Fortaleza Distrito Federal Brasília Espírito Santo Vitória Goiás Goiânia Maranhão São Luís Mato Grosso Cuiabá Mato Grosso do Sul Campo Grande Minas Gerais Belo Horizonte Pará Belém Paraíba João Pessoa Paraná Curitiba Pernambuco Recife Piauí Teresina Rio de Janeiro Rio de Janeiro Rio Grande do Norte Natal Rio Grande do Sul Porto Alegre Rondônia Porto Velho Roraima Boa Vista Santa Catarina Florianópolis São Paulo São Paulo Sergipe Aracaju Tocantins Palmas. Vi;07/12;18:31;professional;50900;Carros, vans e utilitários;VW - VOLKSWAGEN VOYAGE 1.0 FLEX 12V 4P;VW - VOLKSWAGEN;2019;42000;1.0;Flex;Manual;Hidráulica;Branco;4 portas;yes;yes;yes;yes;yes;yes;;57080525;Maceió;Jardim Petrópolis;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/voyage-1-0-3-cil-2019-2019-966265707;Sedã;2;yes;
