Title;ID;Description;Date;Hour;Class;Price;Categoria;Modelo;Marca;Tipo de veículo;Ano;Quilometragem;Potência do motor;Combustível;Câmbio;Direção;Cor;Portas;Final de placa;Vidro elétrico;Air bag;Trava elétrica;Ar condicionado;Direção hidráulica;Alarme;Som;Sensor de ré;CEP;City;Neighborhood;Link;Câmera de ré;Blindado
New Fiesta Titanium Automático 2015;961142581;Carro novíssimo!  - Controle de estabilidade  - Bancos de couro - Direção elétrica  - Ar Digital - Revisado - Ipva Pago - Bateria nova  WhatsApp (82)9997... ver número ;02/12;22:38;amateur;45900;Carros, vans e utilitários;FORD TITANIUM 1.6 POWERSHIFT AUT.;FORD;Hatch;2015;82000;1.6;Flex;Automático;Elétrica;Preto;4 portas;4;yes;yes;yes;yes;yes;yes;yes;yes;57036440;Maceió;Jatiúca;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/new-fiesta-titanium-automatico-2015-961142581;;
CRONOS 2019/2020 1.8 E.TORQ FLEX PRECISION AT6;954240889;Veículo: FIAT CRONOS 1.8 E.TORQ FLEX PRECISION AT6 Ano: 2019... ver número Cor: Branco  Informações complementares: Único Dono, IPVA PAGO, Licenciado  Outros opcionais: Freio ABS, Rodas de liga leve, Bancos de couro, Desembaçador traseiro, Encosto de cabeça traseiro, Volante com Regulagem de Altura, Sensor de estacionamento, Banco do motorista com ajuste de altura, Computador de bordo, Controle automático de velocidade, Controle de tração, Retrovisor fotocrômico, Sensor de chuva  Observação:Se você está sonhando em trocar de carro, agora você está na direção certa! O seminovo mais novo do Brasil está na Localiza Seminovos, onde você encontra a maior variedade de modelos do mercado e muitas vantagens, como condições únicas de financiamento, entrada facilitada em até 10 vezes sem juros, carros revisados e com garantia de quilometragem real, viabilizamos a troca do seu carro usado e entregamos seu novo carro na segurança de sua casa! Agende já seu atendimento!;02/12;22:37;professional;77270;Carros, vans e utilitários;FIAT CRONOS PRECISION 1.8 16V FLEX AUT.;FIAT;Passeio;2020;55247;;Flex;Automático;;;4 portas;0;yes;;yes;yes;;yes;;;57052405;Maceió;Gruta de Lourdes;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/cronos-2019-2020-1-8-e-torq-flex-precision-at6-954240889;;
FIAT MOBI like;964594382;Baixei pra vender logo não aceito proposta Fiat MOBI COMPLETO só transferir dispenso curiosos(a). ;02/12;22:27;amateur;31500;Carros, vans e utilitários;FIAT MOBI LIKE 1.0 FIRE FLEX 5P.;FIAT;Hatch;2019;46200;1.0;Flex;Manual;Hidráulica;Branco;4 portas;4;;yes;;;;;;;57073460;Maceió;Cidade Universitária;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/fiat-mobi-like-964594382;;
Carro;964593423;Carro extra, nada a fazer. Capota marítima, protetor de caçamba, 4 pneus novos, estepe novo. ;02/12;22:23;amateur;58000;Carros, vans e utilitários;FIAT STRADA WORKING HARD 1.4 FIRE FLEX 8V CE;FIAT;Pick-up;2019;77000;1.4;Flex;Manual;Hidráulica;Branco;2 portas;3;yes;yes;yes;yes;yes;yes;yes;;57035660;Maceió;Jatiúca;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/carro-964593423;;
Onix;964593072;Onix LT 1.0 ;02/12;22:21;amateur;40000;Carros, vans e utilitários;GM - CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.;GM - CHEVROLET;Hatch;2015;80;1.0;Flex;Automático;Hidráulica;Preto;4 portas;7;yes;;;yes;yes;yes;;yes;57038420;Maceió;Cruz das Almas;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/onix-964593072;;
Fiat uno fire flex 2009 com ar e vidro elétrico. ;964592915;Fiat uno fire flex com ar e vidro elétrico 2009 emplacado pintado recentemente obs...o ar está parado. Valor do na fip...17.mil...estou pedindo 14....segundo dono aceito troca por moto do meu interesse. ;02/12;22:20;amateur;14000;Carros, vans e utilitários;FIAT UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 4P;FIAT;Passeio;2009;0;1.0;Flex;Manual;Mecânica;Outra;4 portas;1;yes;;;yes;;;yes;;57057100;Maceió;Pinheiro;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-fire-flex-2009-com-ar-e-vidro-eletrico-964592915;;
Duster ZEN 2021 - IPVA PAGO - 3 mil km ;893248302;Contato: (82) 9994... ver número whatsapp e ligação Duster ZEN 2020/2021 - 3 mil km rodados IPVA pago Central multimídia Rodas de liga leve;02/12;22:19;amateur;86000;Carros, vans e utilitários;RENAULT DUSTER ZEN 1.6 16V FLEX MEC;RENAULT;SUV;2021;3000;1.6;Flex;Manual;Elétrica;Outra;4 portas;1;yes;yes;yes;yes;yes;yes;yes;;57303200;Arapiraca;Boa Vista;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/duster-zen-2021-ipva-pago-3-mil-km-893248302;;
Vendo Saveiro 2012 1.6 ;964592674;Saveiro 2012 1.6 completa ;02/12;22:19;amateur;35000;Carros, vans e utilitários;VW - VOLKSWAGEN SAVEIRO 1.6 MI/ 1.6 MI TOTAL FLEX 8V;VW - VOLKSWAGEN;Pick-up;2012;142000;1.6;Flex;Manual;Hidráulica;Vermelho;2 portas;7;yes;;yes;yes;yes;yes;yes;;57280000;Igreja Nova;;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/vendo-saveiro-2012-1-6-964592674;;
FIAT TORO 2017 ;964592537;Câmbio automático Bancos de couro Motor 2.4 Flex Direção hidráulica Farois de xenon 4 portas  Cor branco;02/12;22:18;amateur;87000;Carros, vans e utilitários;FIAT TORO FREEDOM 2.4 16V FLEX AUT.;FIAT;Pick-up;2017;88750;2.0 - 2.9;Flex;Automático;Hidráulica;Branco;4 portas;3;yes;yes;yes;yes;yes;yes;yes;yes;57304400;Arapiraca;Primavera;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/fiat-toro-2017-964592537;yes;
Renegade longitude flex ;964591275;4 pneus novos ;02/12;22:16;professional;84990;Carros, vans e utilitários;JEEP RENEGADE LONGITUDE 1.8 4X2 FLEX 16V AUT.;JEEP;SUV;2016;65400;1.8;Flex;Automático;Hidráulica;Prata;4 portas;4;yes;yes;yes;yes;yes;yes;yes;yes;57025660;Maceió;Poço;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/renegade-longitude-flex-964591275;yes;
